Group,Quarter_Num,Sunset_GPA,A_share,B_share,C_share,DF_share,RMP_Difficulty,RMP_Quality,RMP_Review_Count,CAPES_Study_Hours,CAPES_GPA,CAPES_Count
Biology,2019.75,11.29304435483871,0.27049180327868855,0.4426229508196721,0.1885245901639344,0.09836065573770492,3.4634146341463414,3.7560975609756095,41,,,
Biology,2020.0,3.3933333333333326,0.6333333333333333,0.16666666666666666,0.2,0.0,3.6578947368421053,3.4473684210526314,38,5.854444444444444,3.1728571428571426,63.0
Biology,2020.75,7.294927536231884,0.723404255319149,0.23404255319148937,0.0425531914893617,0.0,3.4107142857142856,3.2589285714285716,112,,,
Biology,2021.0,13.9602809706258,0.6551724137931034,0.2413793103448276,0.0603448275862069,0.04310344827586207,3.618181818181818,3.7636363636363637,55,5.772058823529412,3.358235294117647,102.0
Biology,2021.25,14.46941137123746,0.7931034482758621,0.14942528735632185,0.022988505747126436,0.034482758620689655,3.40625,3.5625,32,6.2654794520547945,3.476849315068493,73.0
Biology,2021.75,33.28633838322774,0.5708955223880597,0.27238805970149255,0.09328358208955224,0.06343283582089553,3.76,2.84,75,,,
Biology,2022.0,59.57508987742432,0.5579150579150579,0.2953667953667954,0.09073359073359073,0.055984555984555984,3.797979797979798,3.313131313131313,99,5.99044776119403,3.2865671641791043,67.0
Biology,2022.25,29.97733050611791,0.5762081784386617,0.26765799256505574,0.10408921933085502,0.05204460966542751,3.1818181818181817,4.068181818181818,44,5.791842105263158,3.339736842105263,76.0
Biology,2022.75,145.4397733046188,0.6304163126593033,0.2107051826677995,0.10110450297366186,0.05777400169923534,3.688888888888889,3.466666666666667,45,,,
Biology,2023.0,107.49396052715423,0.582089552238806,0.2579957356076759,0.12260127931769722,0.03731343283582089,3.2,3.7454545454545456,55,5.679714285714286,3.2947142857142855,70.0
Biology,2023.25,115.38296957723601,0.573045267489712,0.24897119341563786,0.12551440329218108,0.05246913580246913,3.617021276595745,3.4680851063829787,47,5.528108108108108,3.3637837837837834,74.0
Biology,2023.75,174.98206966311204,0.5419078781776995,0.25295746287440224,0.136169141706519,0.06896551724137931,3.5,3.2567567567567566,74,,,
Biology,2024.0,139.8745899231986,0.5673486786018755,0.2696078431372549,0.12766410912190965,0.035379369138959935,3.388059701492537,3.8507462686567164,67,,,
Biology,2024.25,73.57563725722929,0.5785582255083179,0.2857142857142857,0.09215738051227886,0.04357010826511751,3.6025641025641026,3.371794871794872,78,,,
Biology,2024.75,112.18935713354502,0.5556577736890524,0.28656853725850967,0.11361545538178473,0.04415823367065318,3.1941747572815533,3.563106796116505,103,,,
Biology,2025.0,98.5283466570163,0.5252525252525253,0.24444444444444444,0.15286195286195287,0.07744107744107744,3.1636363636363636,3.8636363636363638,110,,,
Biology,2025.25,80.81343243093654,0.5457534246575343,0.26246575342465756,0.14136986301369864,0.05041095890410959,3.2278481012658227,3.759493670886076,79,,,
Biology,2025.75,47.658145957501816,0.6151866151866152,0.2277992277992278,0.10682110682110682,0.05019305019305019,3.3411764705882354,3.2705882352941176,85,,,
Engineering,2019.75,7.25823754789272,0.7538461538461538,0.18461538461538463,0.03076923076923077,0.03076923076923077,3.6578947368421053,2.763157894736842,38,,,
Engineering,2020.0,10.213041765169425,0.6666666666666666,0.21138211382113822,0.06097560975609756,0.06097560975609756,3.566666666666667,3.2666666666666666,60,8.305724137931033,3.196344827586207,145.0
Engineering,2020.25,18.69835954974988,0.8495145631067961,0.10922330097087378,0.012135922330097087,0.02912621359223301,3.65625,3.484375,64,8.372371794871794,3.3466025641025645,156.0
